1,5,6,4,3,4,4,3,*,3
2,7,7,6,5,5,5,5,4,5
3,8,7,7,6,6,6,6,6,6
4,8,7,8,7,7,7,7,8,7
5,6,4,5,3,4,3,4,*,3
6,7,5,6,5,5,4,5,4,4
7,7,6,7,6,6,5,6,6,6
8,8,6,8,7,7,6,7,7,7
9,4,6,3,4,4,3,3,,3
10,6,7,4,5,5,5,4,,4
11,7,7,5,6,6,6,5,,4
12,7,7,6,7,7,7,6,,5
13,5,6,4,3,4,4,4,*,3
14,7,7,5,5,5,5,6,4,5
15,7,7,6,6,6,6,6,6,6
16,7,7,7,7,7,7,7,8,7
17,5,6,4,4,4,4,3,*,3
18,7,7,6,5,5,5,5,4,5
19,7,7,7,6,6,6,6,6,6
20,8,7,8,7,7,7,6,7,6
21,6,5,6,3,4,3,3,,2
22,7,6,8,5,5,4,5,,4
23,8,6,9,5,6,5,5,,5
24,9,6,10,6,7,6,6,,6
25,6,5,5,3,4,2,3,*,3
26,8,6,7,5,5,4,4,4,4
27,9,6,8,6,6,5,5,6,5
28,10,6,9,7,7,6,6,7,6
